,DET1.APOTYPE.VAL,DET1.APOX.VAL,DET1.APOY.VAL,DET1.DIT,DET1.INTERFX.VAL,DET1.INTERFY.VAL,DET1.NCOHERENT.VAL,DET1.NDIT,DET1.NINCOHERENT.VAL,DET1.SNRLIMIT.VAL,DET1.WLMAXCUT.VAL,DET1.WLMINCUT.VAL,DET2.APOTYPE.VAL,DET2.APOX.VAL,DET2.APOY.VAL,DET2.DIT,DET2.INTERFX.VAL,DET2.INTERFY.VAL,DET2.NCOHERENT.VAL,DET2.NDIT,DET2.NINCOHERENT.VAL,DET2.SNRLIMIT.VAL,DET2.WLMAXCUT.VAL,DET2.WLMINCUT.VAL,INS.SFL.NAME,INS.SFN.NAME
202,0.0,512.0,512.0,0.011,512.0,512.0,1.0,100.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,100.0,1.0,5.0,13.0,8.0,1.5,2.0
211,0.0,512.0,512.0,0.011,512.0,512.0,1.0,100.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,100.0,1.0,5.0,13.0,8.0,1.5,2.0
212,0.0,512.0,512.0,0.011,512.0,512.0,1.0,100.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,100.0,1.0,5.0,13.0,8.0,1.5,2.0
213,0.0,512.0,512.0,0.011,512.0,512.0,1.0,100.0,1.0,20.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,1.0,100.0,1.0,20.0,13.0,8.0,1.5,2.0
214,0.0,512.0,512.0,0.011,512.0,512.0,1.0,100.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,100.0,1.0,5.0,13.0,8.0,1.5,2.0
215,0.0,512.0,512.0,0.011,512.0,512.0,1.0,100.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,100.0,1.0,5.0,13.0,8.0,1.5,2.0
231,0.0,512.0,512.0,0.011,512.0,512.0,1.0,100.0,1.0,20.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,1.0,100.0,1.0,20.0,13.0,8.0,1.5,2.0
232,0.0,512.0,512.0,0.011,512.0,512.0,1.0,100.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,100.0,1.0,5.0,13.0,8.0,1.5,2.0
233,0.0,512.0,512.0,0.011,512.0,512.0,1.0,100.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,100.0,1.0,5.0,13.0,8.0,1.5,2.0
334,0.0,512.0,512.0,0.011,512.0,512.0,1.0,100.0,1.0,20.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,1.0,100.0,1.0,20.0,13.0,8.0,1.5,2.0
335,0.0,512.0,512.0,0.011,512.0,512.0,1.0,100.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,100.0,1.0,5.0,13.0,8.0,1.5,2.0
